"Dataset","Indicator_Name","answer","Display_Name","Indicator_Id","Indicator","Rank","Category_11","Category_12","Category_13","Category_14","Category_15","Category_21","Category_22","Category_23","Category_24","Category_25","Category_31","Category_32","Category_33","Category_34","New1","New2","New3","New4","New5","keyN"
"DB","Dealing with Construction Permits  DTF  Dealing with construction permits
DB1618 methodology","Total","Dealing with Construction Permits  DTF  Dealing with construction permits
DB1618 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Rank  Dealing with construction permits
DB18","Total","Rank  Dealing with construction permits
DB18","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Starting a Business  Minimum capital % of income per capita","Total","Starting a Business  Minimum capital % of income per capita","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Starting a Business  Cost  Women % of income per capita","Total","Starting a Business  Cost  Women % of income per capita","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Starting a Business  Time  Women days","Total","Starting a Business  Time  Women days","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Starting a Business  Procedures  Women number","Total","Starting a Business  Procedures  Women number","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Starting a Business  Cost  Men % of income per capita","Total","Starting a Business  Cost  Men % of income per capita","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Starting a Business  Time  Men days","Total","Starting a Business  Time  Men days","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Starting a Business  Procedures  Men number","Total","Starting a Business  Procedures  Men number","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Starting a Business  DTF  Starting a business","Total","Starting a Business  DTF  Starting a business","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Rank  Starting a business DB18","Total","Rank  Starting a business DB18","","","","","","","","","","","","","","","","","","","","","","",""
"DB","DTF global DB1014 methodology","Total","DTF global DB1014 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","DTF global DB15 methodology","Total","DTF global DB15 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","DTF global DB16 methodology","Total","DTF global DB16 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","DTF global DB1718 methodology","Total","DTF global DB1718 methodology","","","","","","","","","","","","","","","","","","","","","","",""
"DB","Rank global DB18","Total","Rank global DB18","","","","","","","","","","","","","","","","","","","","","","",""
